Date Sampled,Address,1st Draw,2-3 Minute,5 Minute
8/18/2021,101XX S CARPENTER ST ,1.8,6.3,2
9/4/2021,101XX S CARPENTER ST ,1.2,1.5,1.4
3/19/2019,101XX S CRANDON AVE,1.2,7.2,1.5
8/9/2019,101XX S DR MARTIN LUTHER KING JR DR,3.7,14,2.2
10/31/2019,101XX S DR MARTIN LUTHER KING JR DR,23,3.1,1.1
1/8/2020,101XX S DR MARTIN LUTHER KING JR DR,See Follow-Up Sequential Sampling Table for Results,,
1/14/2020,101XX S DR MARTIN LUTHER KING JR DR,4.7,8.3,1.1
6/19/2019,101XX S EBERHART ,16,9,2.3
10/16/2019,101XX S EBERHART ,See Follow-Up Sequential Sampling Table for Results,,
6/16/2018,101XX S EBERHART AVE,1.8,1.1,1.1
10/9/2021,101XX S EBERHART AVE ,1.9,2.8,1.8
7/11/2016,101XX S EMERALD AVE,1.5,1.2,1.2
5/9/2019,101XX S EMERALD AVE,1.3,2,1.1
2/18/2019,101XX S FAIRFIELD AVE,9.5,9.5,4
4/28/2019,101XX S FOREST AVE,5.8,2.9,1.4
12/19/2019,101XX S FOREST AVE,1.3,< 1,< 1
7/26/2019,101XX S GREEN ST,3.6,5.5,4
2/21/2019,101XX S HOXIE AVE,1.8,1.6,1.1
6/25/2018,101XX S HOYNE AVE,1.4,2.6,3.7
5/17/2016,101XX S INDIANA AVE,1.9,1.5,1.4
3/9/2018,101XX S INDIANA AVE,3.4,< 1,< 1
10/27/2019,101XX S INDIANA AVE,3.8,14,1.7
12/1/2019,101XX S INDIANA AVE,3.2,1.8,1.6
8/21/2021,101XX S L ,4,8.9,7.3
8/13/2021,101XX S LA SALLE ST ,130,3.4,2.5
2/25/2019,101XX S LAFAYETTE AVE,4.1,11,1.8
8/13/2021,101XX S LaSalle St,130,3.4,2.5
3/23/2022,101XX S LaSalle St,See Follow-Up Sequential Sampling Table for Results,,
2/2/2021,101XX S LEAVITT ST,< 1,1.2,1.3
9/26/2021,101XX S LEAVITT ST ,3.5,2.7,2.6
4/3/2022,101XX S LEAVITT ST ,4.8,3.9,4
3/15/2019,101XX S LONGWOOD DR DR,6,4.9,5.8
10/8/2019,101XX S LUELLA AVE,13,14,13
8/5/2021,101XX S LUELLA AVE ,5.8,10,2.6
6/29/2019,101XX S MAPLEWOOD AVE,2.3,2.8,< 1
3/17/2019,101XX S MAY ST,2.1,6.6,1.1
1/25/2017,101XX S MORGAN ST,6.2,7.3,2.2
9/14/2021,101XX S MORGAN ST ,3.8,4.5,3.9
7/27/2021,101XX S NORMAL AVE ,1.7,2,1.4
8/24/2019,101XX S OAKLEY AVE,1.2,1.7,8.7
12/10/2019,101XX S OGLESBY AVE,3.4,2,1.7
8/9/2019,101XX S PEORIA ST,4.5,2.1,< 1
3/2/2020,101XX S PEORIA ST,5.1,6,7.3
3/2/2020,101XX S Peoria St,5.1,6,7.3
6/18/2021,101XX S Peoria St,See Follow-Up Sequential Sampling Table for Results,,
7/11/2019,101XX S PERRY ,4,17,5.3
11/19/2019,101XX S PERRY ,See Follow-Up Sequential Sampling Table for Results,,
7/10/2016,101XX S PROSPECT AVE,3.4,3.1,2.8
12/2/2018,101XX S PROSPECT AVE,7.2,6.1,5.6
4/16/2019,101XX S RHODES AVE,4.6,7.2,1.3
5/2/2019,101XX S RHODES AVE,2.7,5.5,1.1
9/3/2019,101XX S RHODES AVE,5.6,11,5
3/6/2019,101XX S SAINT LAWRENCE AVE,6.6,2.5,1.4
10/30/2019,101XX S SANGAMON ST,4.5,8.5,3.1
8/4/2016,101XX S SEELEY AVE,4.6,3.8,2.5
10/11/2016,101XX S SEELEY AVE,3.6,11,10
10/11/2016,101XX S SEELEY AVE,3.6,11,10
12/10/2016,101XX S SEELEY AVE,See Follow-Up Sequential Sampling Table for Results,,
2/23/2019,101XX S SEELEY AVE,3.3,6.7,1.6
4/3/2019,101XX S SEELEY AVE,< 1,< 1,< 1
11/18/2019,101XX S SEELEY AVE,1.1,2.2,< 1
9/17/2019,101XX S SPRINGFIELD AVE,4.8,9.7,5.2
10/5/2021,101XX S Springfield Ave ,4.1,8.1,6.1
10/29/2018,101XX S St Lawrence Ave,16,7.4,2.6
6/28/2021,101XX S St Lawrence Ave,See Follow-Up Sequential Sampling Table for Results,,
1/11/2019,101XX S TALMAN AVE,5.7,6,2
11/22/2019,101XX S VERNON AVE,9.5,8.5,2.2
2/22/2022,101XX S VERNON AVE ,12,8.2,1.4
2/3/2019,101XX S WALLACE ST,2.6,2.7,2.6
3/21/2019,101XX S WASHTENAW AVE,1.6,2.9,4.4
10/12/2019,101XX S Washtenaw Ave,8.2,8,14
11/27/2019,101XX S WASHTENAW AVE,5.1,12,2.2
10/26/2021,101XX S Washtenaw Ave,See Follow-Up Sequential Sampling Table for Results,,
2/11/2019,101XX S WENTWORTH AVE,< 1,< 1,< 1
5/5/2019,101XX S YALE AVE,1.2,1.9,< 1
8/28/2019,101XX S YALE AVE,4.3,13,6.4
11/22/2019,101XX S YALE AVE,8.3,< 1,< 1
8/11/2019,101XX S YATES AVE,6.5,20,17
11/22/2019,101XX S Yates Ave,36,9.9,1.8
11/25/2019,101XX S YATES AVE,4.2,11,3.5
1/24/2020,101XX S YATES AVE,See Follow-Up Sequential Sampling Table for Results,,
5/21/2021,101XX S Yates Ave,See Follow-Up Sequential Sampling Table for Results,,
10/7/2021,101XX S YATES AVE ,4.4,4,3.1
8/16/2016,102XX S ABERDEEN ST,4.7,10,5.3
11/11/2018,102XX S ALBANY AVE,1.2,< 1,< 1
6/21/2021,102XX S ALBANY AVE,2.6,2.7,2.7
10/22/2016,102XX S ARTESIAN AVE,6.1,15,4.7
11/30/2016,102XX S ARTESIAN AVE,2.8,2.1,1.4
12/20/2016,102XX S ARTESIAN AVE,See Follow-Up Sequential Sampling Table for Results,,
