Date Sampled,Address,1st Draw,2-3 Minute,5 Minute,numAddr,geocode
7/29/2019,100XX S LONGWOOD DR,6.5,6.8,14,10000 S LONGWOOD DR,"[41.711926, -87.66902]"
,100XX S LONGWOOD DR,Customer declined further testing,,,10000 S LONGWOOD DR,"[41.711926, -87.66902]"
4/20/2020,100XX S LOWE AVE,< 1,1.9,< 1,10000 S LOWE AVE,"[41.712307, -87.639444]"
10/6/2021,100XX S M ,57,2.5,2.2,10000 S M ,"[0, 0]"
1/30/2020,100XX S MALTA ST,2.6,4.1,< 1,10000 S MALTA ST,"[41.711197, -87.65902]"
8/27/2019,100XX S MAPLEWOOD AVE,6.4,13,2.5,10000 S MAPLEWOOD AVE,"[41.7116964, -87.68576598275862]"
9/18/2019,100XX S MAPLEWOOD AVE,1.9,1.6,1.1,10000 S MAPLEWOOD AVE,"[41.7116964, -87.68576598275862]"
4/9/2019,100XX S MERRILL AVE,10,1.5,< 1,10000 S MERRILL AVE,"[41.712867, -87.570732]"
3/30/2018,100XX S MORGAN ST,1.6,5.6,1.3,10000 S MORGAN ST,"[41.7121748, -87.64813279449638]"
7/3/2016,100XX S OAKLEY AVE,2.1,2.2,2.1,10000 S OAKLEY AVE,"[41.7117064, -87.67974405099898]"
7/6/2016,100XX S OAKLEY AVE,2.6,1.1,< 1,10000 S OAKLEY AVE,"[41.7117064, -87.67974405099898]"
11/4/2018,100XX S OAKLEY AVE,5.6,2.1,1.3,10000 S OAKLEY AVE,"[41.7117064, -87.67974405099898]"
3/7/2019,100XX S OAKLEY AVE,< 1,1.5,3.5,10000 S OAKLEY AVE,"[41.7117064, -87.67974405099898]"
8/25/2019,100XX S OAKLEY AVE,3.8,2.7,2.4,10000 S OAKLEY AVE,"[41.7117064, -87.67974405099898]"
10/22/2019,100XX S OGLESBY AVE,1.6,2.1,1,10000 S OGLESBY AVE,"[41.712932, -87.5659]"
9/16/2021,100XX S PAXTON AVE ,6.7,8.4,7.5,10000 S PAXTON AVE ,"[41.712884, -87.569524]"
6/24/2019,100XX S PEORIA ST,1.9,2.3,1.6,10000 S PEORIA ST,"[41.71218745, -87.64569402644608]"
8/14/2019,100XX S PEORIA ST,2.1,3.2,2,10000 S PEORIA ST,"[41.71218745, -87.64569402644608]"
10/15/2019,100XX S PEORIA ST,6.3,7.7,2.6,10000 S PEORIA ST,"[41.71218745, -87.64569402644608]"
3/10/2020,100XX S PEORIA ST,5.5,< 1,< 1,10000 S PEORIA ST,"[41.71218745, -87.64569402644608]"
8/19/2021,100XX S PEORIA ST ,3.5,8.2,4.5,10000 S PEORIA ST ,"[41.71218745, -87.64569402644608]"
12/14/2018,100XX S PERRY AVE,1,1.6,< 1,10000 S PERRY AVE,"[41.7124662, -87.62628885523566]"
4/21/2022,100XX S PERRY AVE ,1.7,3.2,1.8,10000 S PERRY AVE ,"[41.7124662, -87.62628885523566]"
9/24/2021,100XX S PRAIRIE AVE ,2.1,2.2,7.7,10000 S PRAIRIE AVE ,"[41.71259775, -87.61780931016284]"
12/20/2018,100XX S PROSPECT AVE,< 1,< 1,1.3,10000 S PROSPECT AVE,"[41.7119938, -87.6630921371686]"
10/7/2019,100XX S PROSPECT AVE,8.1,2.2,5,10000 S PROSPECT AVE,"[41.7119938, -87.6630921371686]"
1/21/2020,100XX S PROSPECT AVE,5.7,5.9,2.1,10000 S PROSPECT AVE,"[41.7119938, -87.6630921371686]"
6/10/2021,100XX S PROSPECT AVE,1.8,4.7,4.3,10000 S PROSPECT AVE,"[41.7119938, -87.6630921371686]"
9/13/2021,100XX S PROSPECT AVE ,1.5,2.5,2.4,10000 S PROSPECT AVE ,"[41.7119938, -87.6630921371686]"
6/16/2019,100XX S RHODES AVE,4.6,5,4.3,10000 S RHODES AVE,"[41.7127014, -87.61054445872054]"
12/7/2019,100XX S RHODES AVE,2.1,4.4,1.3,10000 S RHODES AVE,"[41.7127014, -87.61054445872054]"
