"Date Sampled","Address","1st Draw","2-3 Minute","5 Minute","numAddr","geometry"
"6/14/2021","100XX S LAFAYETTE AVE","6.3","1.5","1.1","10000 S LAFAYETTE AVE",c(-77.5194227898776, 40.1121495744898)
"10/19/2021","100XX S LaSalle St","7.4","12","11","10000 S LaSalle St",c(-77.5194221928946, 40.1121495732789)
"12/14/2021","100XX S LaSalle St","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10000 S LaSalle St",c(-77.5194221928946, 40.1121495732789)
"3/22/2019","100XX S LEAVITT ST","1.2","4.2","1","10000 S LEAVITT ST",c(-77.5194227850932, 40.1121494315)
"11/11/2018","100XX S LONGWOOD DR","6.2","14","8.8","10000 S LONGWOOD DR",c(-77.5194227856016, 40.112149454006)
"7/29/2019","100XX S LONGWOOD DR","6.5","6.8","14","10000 S LONGWOOD DR",c(-77.5194227856016, 40.112149454006)
NA,"100XX S LONGWOOD DR","Customer declined further testing",NA,NA,"10000 S LONGWOOD DR",c(-77.5194227856016, 40.112149454006)
"4/20/2020","100XX S LOWE AVE","< 1","1.9","< 1","10000 S LOWE AVE",c(-77.5194227884875, 40.1121495351635)
"10/6/2021","100XX S M","57","2.5","2.2","10000 S M",c(-77.5195843716727, 40.1123852974786)
"1/30/2020","100XX S MALTA ST","2.6","4.1","< 1","10000 S MALTA ST",c(-77.5194227896415, 40.1121494813517)
"8/27/2019","100XX S MAPLEWOOD AVE","6.4","13","2.5","10000 S MAPLEWOOD AVE",c(-77.5194227840171, 40.1121494080529)
"9/18/2019","100XX S MAPLEWOOD AVE","1.9","1.6","1.1","10000 S MAPLEWOOD AVE",c(-77.5194227840171, 40.1121494080529)
"4/9/2019","100XX S MERRILL AVE","10","1.5","< 1","10000 S MERRILL AVE",c(-77.5194227963537, 40.1121497236758)
"3/30/2018","100XX S MORGAN ST","1.6","5.6","1.3","10000 S MORGAN ST",c(-77.5194227877121, 40.1121495113189)
"7/3/2016","100XX S OAKLEY AVE","2.1","2.2","2.1","10000 S OAKLEY AVE",c(-77.5194227848461, 40.1121494245698)
"7/6/2016","100XX S OAKLEY AVE","2.6","1.1","< 1","10000 S OAKLEY AVE",c(-77.5194227848461, 40.1121494245698)
"11/4/2018","100XX S OAKLEY AVE","5.6","2.1","1.3","10000 S OAKLEY AVE",c(-77.5194227848461, 40.1121494245698)
"3/7/2019","100XX S OAKLEY AVE","< 1","1.5","3.5","10000 S OAKLEY AVE",c(-77.5194227848461, 40.1121494245698)
"8/25/2019","100XX S OAKLEY AVE","3.8","2.7","2.4","10000 S OAKLEY AVE",c(-77.5194227848461, 40.1121494245698)
"10/22/2019","100XX S OGLESBY AVE","1.6","2.1","1","10000 S OGLESBY AVE",c(-77.5194227968154, 40.1121497369353)
"9/16/2021","100XX S PAXTON AVE","6.7","8.4","7.5","10000 S PAXTON AVE",c(-77.5194227964665, 40.1121497269908)
"6/24/2019","100XX S PEORIA ST","1.9","2.3","1.6","10000 S PEORIA ST",c(-77.5194227880171, 40.1121495180089)
"8/14/2019","100XX S PEORIA ST","2.1","3.2","2","10000 S PEORIA ST",c(-77.5194227880171, 40.1121495180089)
"10/15/2019","100XX S PEORIA ST","6.3","7.7","2.6","10000 S PEORIA ST",c(-77.5194227880171, 40.1121495180089)
"3/10/2020","100XX S PEORIA ST","5.5","< 1","< 1","10000 S PEORIA ST",c(-77.5194227880171, 40.1121495180089)
"8/19/2021","100XX S PEORIA ST","3.5","8.2","4.5","10000 S PEORIA ST",c(-77.5194227880171, 40.1121495180089)
"12/14/2018","100XX S PERRY AVE","1","1.6","< 1","10000 S PERRY AVE",c(-77.5194227898078, 40.1121495712606)
"4/21/2022","100XX S PERRY AVE","1.7","3.2","1.8","10000 S PERRY AVE",c(-77.5194227898078, 40.1121495712606)
"9/24/2021","100XX S PRAIRIE AVE","2.1","2.2","7.7","10000 S PRAIRIE AVE",c(-77.5194227905556, 40.1121495945312)
"12/20/2018","100XX S PROSPECT AVE","< 1","< 1","1.3","10000 S PROSPECT AVE",c(-77.5194227862106, 40.1121494702713)
"10/7/2019","100XX S PROSPECT AVE","8.1","2.2","5","10000 S PROSPECT AVE",c(-77.5194227862106, 40.1121494702713)
"1/21/2020","100XX S PROSPECT AVE","5.7","5.9","2.1","10000 S PROSPECT AVE",c(-77.5194227862106, 40.1121494702713)
"6/10/2021","100XX S PROSPECT AVE","1.8","4.7","4.3","10000 S PROSPECT AVE",c(-77.5194227862106, 40.1121494702713)
"9/13/2021","100XX S PROSPECT AVE","1.5","2.5","2.4","10000 S PROSPECT AVE",c(-77.5194227862106, 40.1121494702713)
"6/16/2019","100XX S RHODES AVE","4.6","5","4.3","10000 S RHODES AVE",c(-77.5194227912285, 40.1121496144673)
"12/7/2019","100XX S RHODES AVE","2.1","4.4","1.3","10000 S RHODES AVE",c(-77.5194227912285, 40.1121496144673)
"2/1/2020","100XX S RHODES AVE","1.6","2.3","3.1","10000 S RHODES AVE",c(-77.5194227912285, 40.1121496144673)
"7/23/2019","100XX S SAINT LAWRENCE AVE","4.1","8.6","3.2","10000 S SAINT LAWRENCE AVE",c(-77.5194227913201, 40.1121496178633)
"11/25/2019","100XX S SAINT LAWRENCE AVE","3.2","11","1.3","10000 S SAINT LAWRENCE AVE",c(-77.5194227913201, 40.1121496178633)
"12/16/2019","100XX S SAINT LAWRENCE AVE","4.9","14","4.4","10000 S SAINT LAWRENCE AVE",c(-77.5194227913201, 40.1121496178633)
"3/8/2020","100XX S SAINT LAWRENCE AVE","1.1","< 1","< 1","10000 S SAINT LAWRENCE AVE",c(-77.5194227913201, 40.1121496178633)
"9/17/2020","100XX S SANGAMON ST","1.4","2.8","2.7","10000 S SANGAMON ST",c(-77.5194227877952, 40.1121495151754)
"7/27/2021","100XX S SANGAMON ST","2.2","2.8","1.3","10000 S SANGAMON ST",c(-77.5194227877952, 40.1121495151754)
"3/26/2017","100XX S SEELEY AVE","7.4","3.1","1.9","10000 S SEELEY AVE",c(-77.5194227854832, 40.1121494414285)
"10/28/2019","100XX S SEELEY AVE","4.9","4.6","5.7","10000 S SEELEY AVE",c(-77.5194227854832, 40.1121494414285)
"10/31/2019","100XX S STATE ST","1.1","< 1","< 1","10000 S STATE ST",c(-77.5194227901809, 40.1121495777235)
"4/8/2019","100XX S WALLACE ST","1.3","2.6","< 1","10000 S WALLACE ST",c(-77.5194227886107, 40.1121495380142)
"6/23/2016","100XX S WASHTENAW AVE","4","4.7","11","10000 S WASHTENAW AVE",c(-77.5194227836993, 40.1121493978247)
"6/23/2016","100XX S WASHTENAW AVE","4","4.7","11","10000 S WASHTENAW AVE",c(-77.5194227836993, 40.1121493978247)
"9/16/2016","100XX S WASHTENAW AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10000 S WASHTENAW AVE",c(-77.5194227836993, 40.1121493978247)
"6/22/2021","100XX S WENTWORTH AVE","1.5","1.1","< 1","10000 S WENTWORTH AVE",c(-77.519422789637, 40.11214956456)
"11/21/2018","100XX S WINCHESTER AVE","6","6.4","3","10000 S WINCHESTER AVE",c(-77.5194227857456, 40.1121494486621)
